"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
194,"IRIS 313-11048","IRIS","AUS","cA","Bangladesh","SAS",24,19074,2,2,3,8.7,3.2,3,1,3,1,4.21950770517611,1
195,"IRIS 313-11049","IRIS","AUS","cA","Bangladesh","SAS",16.19,19505,2,2,3,8.2,3,3,1,2.4,2,4.12713438504509,2
196,"IRIS 313-11050","IRIS","AUS","cA","Bangladesh","SAS",24.14,19536,1,2,5,8.2,3,3,1,2.5,2,4.21950770517611,2
197,"IRIS 313-11051","IRIS","AUS","cA","Bangladesh","SAS",24.3,19755,1,2,3,8.2,3,3,1,2.3,2,4.21950770517611,1
198,"IRIS 313-11052","IRIS","AUS","cA","Bangladesh","SAS",29.63,18667,1,2,3,7.5,3.2,3,1,2.3,2,4.21950770517611,2
199,"IRIS 313-11053","IRIS","AUS","cA","Bangladesh","SAS",30.03,19588,2,2,3,7.9,3.4,3,1,2.7,2,4.21950770517611,1
200,"IRIS 313-11054","IRIS","AUS","cA","Bangladesh","SAS",19.82,19645,1,2,3,8.1,3.2,3,1,2.7,2,4.21950770517611,2
201,"IRIS 313-11055","IRIS","AUS","cA","Bangladesh","SAS",20.12,19582,1,2,1,7.5,3.3,4,1,2.4,1,4.21950770517611,2
202,"IRIS 313-11056","IRIS","AUS","cA","Bangladesh","SAS",22.81,19342,1,2,1,9.6,3.2,3,1,2.7,2,4.21950770517611,1
203,"IRIS 313-11057","IRIS","AUS","cA","Bangladesh","SAS",27.12,19810,1,2,5,8.2,3.1,3,1,2.5,2,4.12713438504509,2
204,"IRIS 313-11058","IRIS","AUS","cA","Bangladesh","SAS",31.48,19375,2,2,3,8.6,3.2,3,1,2.6,2,4.27666611901606,2
205,"IRIS 313-11059","IRIS","AUS","cA","Bangladesh","SAS",15.45,17297,1,2,5,9,3.3,3,1,3,2,4.21950770517611,1
206,"IRIS 313-11062","IRIS","ARO","cB","Bangladesh","SAS",20.64,19091,1,2,5,5.7,2.9,3,1,1.4,2,4.21950770517611,2
207,"IRIS 313-11063","IRIS","AUS","cA","Bangladesh","SAS",18.74,17982,1,2,5,7.9,2.9,3,1,2.3,NA,4.21950770517611,2
