Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-10927,AUS,T,Nepal,2,2,3,8.8,3.4,4,1,2.4,1,4.553876892,2
IRIS 313-10928,IND,T,Thailand,1,2,5,9.6,2.5,3,1,2.4,2,4.204692619,1
IRIS 313-10930,AUS,P,Bangladesh,2,2,3,7.5,3.2,2,1,2.8,1,4.382026635,2
IRIS 313-10936,JAP,NA,Indonesia,2,2,5,9.9,2.8,4,1,2.3,2,4.744932128,1
IRIS 313-10937,IND,T,Indonesia,2,2,3,7.8,3.4,4,1,2.5,NA,4.96284463,1
IRIS 313-10938,IND,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10941,IND,NA,Indonesia,2,2,5,9.9,2.9,3,1,2,1,4.682131227,1
IRIS 313-10942,IND,T,Indonesia,1,1,1,8.9,2.9,3,1,2.3,1,4.787491743,1
IRIS 313-10944,IND,T,Indonesia,2,2,3,8.8,3.1,4,1,1.9,1,4.8978398,1
IRIS 313-10948,ADM,NA,Indonesia,2,1,7,8.5,2.7,5,2,2.3,2,4.718498871,1
IRIS 313-10949,JAP,NA,Indonesia,2,1,3,7.7,3.7,4,1,2.9,1,4.532599493,1
IRIS 313-10954,IND,T,Indonesia,2,2,5,8.4,3.2,4,1,3,1,4.744932128,1
IRIS 313-10960,JAP,T,Indonesia,2,2,5,8.9,2.7,4,1,2.3,2,4.634728988,1
IRIS 313-10961,IND,T,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10965,AUS,T,Bangladesh,1,2,5,8.7,2.6,4,1,2.2,1,4.219507705,1
IRIS 313-10968,IND,NA,Brazil,1,2,3,8.2,3.1,3,1,2.5,2,4.219507705,1
IRIS 313-10975,IND,T,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10980,IND,T,Bangladesh,2,2,3,8.5,3,3,1,2.9,2,4.394449155,2
IRIS 313-10984,IND,T,Bangladesh,1,2,3,8.6,3.4,4,1,3,2,4.49980967,1
IRIS 313-10986,IND,T,Bangladesh,1,2,5,8.2,3.3,4,1,2.3,2,4.49980967,2
IRIS 313-10988,IND,P,India,1,2,5,9.1,2.9,2,1,2.4,1,4.343805422,2
IRIS 313-10990,IND,T,Philippines,2,2,5,7.5,3.5,4,1,2.6,2,4.442651256,1
IRIS 313-10994,JAP,T,Philippines,1,2,5,8.9,3.3,4,1,2.6,NA,4.564348191,1
IRIS 313-10995,IND,T,Indonesia,1,2,5,7.8,3.1,4,1,2.6,1,4.762173935,2
IRIS 313-10997,IND,T,Indonesia,1,2,5,9,2.9,4,1,2,1,4.700480366,2
IRIS 313-10999,JAP,T,Indonesia,2,2,5,9.5,3,3,1,2.8,1,4.219507705,1
IRIS 313-11005,JAP,T,Indonesia,2,2,5,9,3.4,4,1,2.6,1,4.700480366,2
IRIS 313-11007,JAP,T,Indonesia,2,2,5,8.3,3.5,4,1,2.7,1,4.700480366,1
IRIS 313-11016,AUS,T,Bangladesh,1,2,5,8.1,2.7,3,2,1.9,2,4.406719247,1
IRIS 313-11024,AUS,T,Pakistan,2,2,3,9.9,3,3,1,3,2,4.356708827,1
IRIS 313-11027,AUS,T,Pakistan,1,1,1,7.3,2,3,2,1.2,2,4.356708827,2
IRIS 313-11032,ARO,T,Pakistan,2,2,3,9.6,2.4,3,2,2.4,1,4.574710979,2
IRIS 313-11033,IND,NA,Pakistan,1,2,5,9.6,3,4,1,2.7,NA,4.356708827,2
IRIS 313-11034,AUS,NA,Pakistan,1,2,1,8.7,2.5,3,1,1.8,1,4.276666119,2
IRIS 313-11035,AUS,NA,Pakistan,1,2,5,10,2.1,4,1,1.2,1,4.430816799,1
IRIS 313-11037,AUS,T,Pakistan,1,2,5,8,2.8,2,1,2.1,1,4.356708827,1
IRIS 313-11038,IND,P,China,1,1,1,9,3.2,2,1,2.6,1,4.127134385,1
IRIS 313-11039,IND,I,China,1,1,1,7.2,3.2,2,2,2.5,1,4.248495242,1
IRIS 313-11040,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11042,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11043,IND,NA,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11044,JAP,NA,Malaysia,1,2,3,8.2,3.7,4,1,2.9,1,4.700480366,2
IRIS 313-11045,JAP,NA,Malaysia,2,2,5,8.3,3.6,4,1,2.7,2,4.700480366,2
IRIS 313-11046,JAP,NA,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11047,AUS,P,Bangladesh,1,2,3,7.7,3.1,3,1,2.1,1,4.219507705,2
IRIS 313-11048,AUS,P,Bangladesh,2,2,3,8.7,3.2,3,1,3,1,4.219507705,1
IRIS 313-11049,AUS,P,Bangladesh,2,2,3,8.2,3,3,1,2.4,2,4.127134385,2
IRIS 313-11050,AUS,P,Bangladesh,1,2,5,8.2,3,3,1,2.5,2,4.219507705,2
IRIS 313-11051,AUS,P,Bangladesh,1,2,3,8.2,3,3,1,2.3,2,4.219507705,1
IRIS 313-11052,AUS,P,Bangladesh,1,2,3,7.5,3.2,3,1,2.3,2,4.219507705,2
IRIS 313-11053,AUS,P,Bangladesh,2,2,3,7.9,3.4,3,1,2.7,2,4.219507705,1
IRIS 313-11054,AUS,P,Bangladesh,1,2,3,8.1,3.2,3,1,2.7,2,4.219507705,2
IRIS 313-11055,AUS,P,Bangladesh,1,2,1,7.5,3.3,4,1,2.4,1,4.219507705,2
IRIS 313-11056,AUS,P,Bangladesh,1,2,1,9.6,3.2,3,1,2.7,2,4.219507705,1
IRIS 313-11057,AUS,P,Bangladesh,1,2,5,8.2,3.1,3,1,2.5,2,4.127134385,2
IRIS 313-11058,AUS,P,Bangladesh,2,2,3,8.6,3.2,3,1,2.6,2,4.276666119,2
IRIS 313-11059,AUS,P,Bangladesh,1,2,5,9,3.3,3,1,3,2,4.219507705,1
IRIS 313-11062,ARO,P,Bangladesh,1,2,5,5.7,2.9,3,1,1.4,2,4.219507705,2
IRIS 313-11063,AUS,P,Bangladesh,1,2,5,7.9,2.9,3,1,2.3,NA,4.219507705,2
IRIS 313-11064,AUS,P,Bangladesh,1,2,5,7.8,3,2,1,2.1,1,4.127134385,1
IRIS 313-11066,ARO,P,Bangladesh,1,2,5,7.3,3.4,3,1,2.5,1,4.127134385,1
IRIS 313-11079,IND,T,Laos,1,2,5,9.7,3.1,3,1,3,1,4.718498871,2
IRIS 313-11081,IND,T,Laos,2,2,5,10.4,3.7,4,1,3.7,1,4.779123493,2
IRIS 313-11083,IND,T,Laos,2,2,5,8.4,3.5,4,2,2.8,1,4.779123493,2
IRIS 313-11085,IND,NA,Laos,2,2,5,9.8,3.5,3,1,2.2,1,4.234106505,2
IRIS 313-11089,IND,NA,Cambodia,1,2,1,9.7,3,3,1,1.8,2,4.442651256,2
IRIS 313-11094,JAP,T,Laos,2,2,7,11.1,4.1,3,1,3.6,1,4.430816799,2
IRIS 313-11095,IND,T,Laos,2,2,5,8.5,3.6,4,1,3.1,1,4.65396035,2
IRIS 313-11097,IND,T,Philippines,2,2,5,7.4,3.3,3,1,1.7,2,4.442651256,2
IRIS 313-11098,IND,NA,Sierra_Leone,1,1,5,9.2,3,3,1,1.6,NA,4.787491743,1
IRIS 313-11102,JAP,NA,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11103,JAP,NA,Liberia,2,2,5,9.8,3.6,3,1,3.2,2,4.442651256,1
IRIS 313-11104,JAP,NA,Liberia,1,2,5,9.3,3.4,3,1,2.8,2,4.442651256,1
IRIS 313-11112,AUS,T,Bangladesh,2,2,1,9,3.6,3,1,2.8,2,4.442651256,2
IRIS 313-11113,IND,T,Bangladesh,2,2,5,9.3,3.4,4,1,2.8,1,4.634728988,1
IRIS 313-11118,IND,T,Vietnam,2,1,5,8,3,3,1,1.7,NA,5.135798437,2
IRIS 313-11129,IND,NA,Myanmar,1,2,1,8.2,2.9,3,1,2.1,2,4.644390899,1
IRIS 313-11151,IND,I,Myanmar,2,2,1,8.7,3,4,1,2.6,NA,4.584967479,1
IRIS 313-11160,IND,NA,Liberia,1,1,5,9.9,2.8,3,1,2.2,2,4.584967479,1
